Legend:

1-P =,Untitled 1 Process


Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P °C
157,9/8/2022,12:32:05 PM,135
158,9/8/2022,12:32:20 PM,135
159,9/8/2022,12:32:35 PM,135
160,9/8/2022,12:32:50 PM,135
161,9/8/2022,12:33:05 PM,135
162,9/8/2022,12:33:20 PM,135
163,9/8/2022,12:33:35 PM,135
164,9/8/2022,12:33:50 PM,135
165,9/8/2022,12:34:05 PM,135
166,9/8/2022,12:34:20 PM,135
167,9/8/2022,12:34:35 PM,135
168,9/8/2022,12:34:50 PM,135
169,9/8/2022,12:35:05 PM,135
170,9/8/2022,12:35:20 PM,135
171,9/8/2022,12:35:35 PM,135
172,9/8/2022,12:35:50 PM,135
173,9/8/2022,12:36:05 PM,135
174,9/8/2022,12:36:20 PM,135
175,9/8/2022,12:36:35 PM,134
176,9/8/2022,12:36:50 PM,134
177,9/8/2022,12:37:05 PM,134
178,9/8/2022,12:37:20 PM,134
179,9/8/2022,12:37:35 PM,134
180,9/8/2022,12:37:50 PM,134
181,9/8/2022,12:38:05 PM,134
182,9/8/2022,12:38:20 PM,134
183,9/8/2022,12:38:35 PM,134
184,9/8/2022,12:38:50 PM,134
185,9/8/2022,12:39:05 PM,134
186,9/8/2022,12:39:20 PM,134
187,9/8/2022,12:39:35 PM,134
188,9/8/2022,12:39:50 PM,134
189,9/8/2022,12:40:05 PM,134
190,9/8/2022,12:40:20 PM,134
191,9/8/2022,12:40:35 PM,135
192,9/8/2022,12:40:50 PM,136
193,9/8/2022,12:41:05 PM,136
194,9/8/2022,12:41:20 PM,137
195,9/8/2022,12:41:35 PM,139
196,9/8/2022,12:41:50 PM,141
197,9/8/2022,12:42:05 PM,143
198,9/8/2022,12:42:20 PM,146
199,9/8/2022,12:42:35 PM,149
200,9/8/2022,12:42:50 PM,152
201,9/8/2022,12:43:05 PM,155
202,9/8/2022,12:43:20 PM,158
203,9/8/2022,12:43:35 PM,161
204,9/8/2022,12:43:50 PM,166
205,9/8/2022,12:44:05 PM,169
206,9/8/2022,12:44:20 PM,173
207,9/8/2022,12:44:35 PM,176
208,9/8/2022,12:44:50 PM,179
209,9/8/2022,12:45:05 PM,182
210,9/8/2022,12:45:20 PM,187
211,9/8/2022,12:45:35 PM,188
212,9/8/2022,12:45:50 PM,191
213,9/8/2022,12:46:05 PM,194
214,9/8/2022,12:46:20 PM,197
215,9/8/2022,12:46:35 PM,200
216,9/8/2022,12:46:50 PM,203
217,9/8/2022,12:47:05 PM,205
218,9/8/2022,12:47:20 PM,207
219,9/8/2022,12:47:35 PM,209
220,9/8/2022,12:47:50 PM,211
221,9/8/2022,12:48:05 PM,213
222,9/8/2022,12:48:20 PM,215
223,9/8/2022,12:48:35 PM,217
224,9/8/2022,12:48:50 PM,219
225,9/8/2022,12:49:05 PM,220
226,9/8/2022,12:49:20 PM,222
227,9/8/2022,12:49:35 PM,224
228,9/8/2022,12:49:50 PM,225
229,9/8/2022,12:50:05 PM,226
230,9/8/2022,12:50:20 PM,227
231,9/8/2022,12:50:35 PM,228
232,9/8/2022,12:50:50 PM,229
233,9/8/2022,12:51:05 PM,231
234,9/8/2022,12:51:20 PM,232
235,9/8/2022,12:51:35 PM,232
236,9/8/2022,12:51:50 PM,233
237,9/8/2022,12:52:05 PM,234
238,9/8/2022,12:52:20 PM,235
239,9/8/2022,12:52:35 PM,236
240,9/8/2022,12:52:50 PM,236
